DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,NO2,CO,PM10,PM25,SO2
24-10-2012,766,224.57,51.59,0.44,20.65,,391388,342588,225117,0.713,167.39,1.52,NaN,10.81,4.99
25-10-2012,1221,224.75,51.08,0.5,20.07,,391388,342588,225117,0.713,107.12,1.44,NaN,24.85,5.64
26-10-2012,1624,183.87,46.18,0.42,21.49,,391388,342588,225117,0.713,197.6,1.92,NaN,33.25,9.04
27-10-2012,2723,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,157.52,1.45,NaN,40.36,10.9
28-10-2012,2303,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,290.86,1.55,NaN,43.31,10.95
29-10-2012,2259,230.63,49.51,0.48,23.33,,391388,342588,225117,0.713,155.75,1.65,NaN,43.35,10.12
30-10-2012,2942,218.18,54.97,0.45,21.42,,391388,342588,225117,0.713,235.3,1.8,NaN,47.24,10.09
31-10-2012,3370,202.25,60.55,0.36,20.99,,391388,342588,225117,0.713,287.02,2.12,NaN,46.62,11.62
01-11-2012,4411,212.56,61.57,0.39,21,,391388,342588,225117,0.713,293.4,1.26,NaN,47.07,7.72
02-11-2012,4028,212.85,65.2,0.41,20.07,,391388,342588,225117,0.713,133.12,1.67,NaN,48.9,6
03-11-2012,3133,204.88,58.74,0.4,20.49,,391388,342588,225117,0.713,95.95,1.36,NaN,50.18,4.8
04-11-2012,4215,211.37,58.79,0.42,20.19,,391388,342588,225117,0.713,88.74,1.59,NaN,53.59,4.45
05-11-2012,3408,189.95,58.81,0.37,20.12,,391388,342588,225117,0.713,201.96,1.67,NaN,36.41,6.73
06-11-2012,4566,208.67,57.46,0.41,19.8,,391388,342588,225117,0.713,239.25,1.73,NaN,18.6,11.38
07-11-2012,4537,203.34,59.61,0.39,19.63,,391388,342588,225117,0.713,212.92,1.86,NaN,15.04,15.49
08-11-2012,2936,215.11,61.66,0.48,18.61,,391388,342588,225117,0.713,322.14,1.67,NaN,60.79,12.28
09-11-2012,2377,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,437.77,2.62,NaN,115.09,12.43
10-11-2012,2741,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,354.17,2.07,NaN,136.26,15.73
11-11-2012,1846,93.06,42.63,0.42,23.2,,391388,342588,225117,0.713,400.3,1.78,NaN,135.11,14.94
