DATE,FIRECOUNT,WD,RH,WS,AT,GSDP,GSVA,GSDP_CAP,HDI,PM10,PM25,CO,NO2,SO2
17-12-2019,6,266.84,77.24,1.34,10.57,830872,736717,414710,0.746,186.74,108.3,1.79,111.49,7.03
18-12-2019,5,256.91,73.64,1.11,11.52,830872,736717,414710,0.746,273.28,178.75,1.86,158.29,2.53
19-12-2019,1,215.76,82.42,0.61,9.4,830872,736717,414710,0.746,438.66,326.1,2.69,147.79,11.09
20-12-2019,0,230.49,80.24,0.66,11.85,830872,736717,414710,0.746,674.47,503.94,3.43,240.56,9.06
21-12-2019,12,262.7,79.25,0.92,13.16,830872,736717,414710,0.746,419.82,313.38,1.64,181.02,4.31
22-12-2019,1,276.24,82.12,1.57,11.06,830872,736717,414710,0.746,223.04,160.89,2.22,120.25,5.38
23-12-2019,1,261.09,78.32,1.12,9.66,830872,736717,414710,0.746,280.2,198.3,2.08,123.35,6.88
24-12-2019,3,229.13,77.07,0.71,10.1,830872,736717,414710,0.746,484.31,328.19,2.7,302.5,10.93
25-12-2019,1,271.6,79.93,1.52,8.52,830872,736717,414710,0.746,276.14,187.57,1.54,157.52,3.84
26-12-2019,3,269.12,75.44,1.13,8.36,830872,736717,414710,0.746,331.53,217.88,1.24,201.49,6.21
27-12-2019,1,265.91,73.04,0.78,8.16,830872,736717,414710,0.746,426.05,292.34,2.07,246.23,9.09
28-12-2019,4,251.65,79.02,0.57,6.15,830872,736717,414710,0.746,500.48,336.75,2.39,331.13,12.24
29-12-2019,26,232.08,75.07,0.61,8.56,830872,736717,414710,0.746,517.02,359.65,2.87,215.1,11.83
30-12-2019,0,177.68,85.17,0.85,6.01,830872,736717,414710,0.746,500.67,369.66,2.73,63.66,8.56
31-12-2019,2,160.82,71.02,1.31,8.32,830872,736717,414710,0.746,245.38,184.19,2.02,23.6,7.29
01-09-2020,0,152.95,69.01,1.13,27.99,798310,708826,391060,NaN,37.51,17.2,1.31,47.4,6.75
02-09-2020,1,215.92,71.48,0.76,28.52,798310,708826,391060,NaN,63.02,28.41,1.84,66.67,6.85
03-09-2020,4,134.92,69.58,1.59,29.43,798310,708826,391060,NaN,60.82,36.72,1.3,28.1,6.2
04-09-2020,1,159.64,71.43,1.22,29.2,798310,708826,391060,NaN,52.79,42.08,2.02,79.75,26.13
05-09-2020,1,220.16,74.11,0.95,28.02,798310,708826,391060,NaN,NaN,47.21,1.38,35.77,15.43
06-09-2020,4,246.08,77.22,0.64,27.39,798310,708826,391060,NaN,NaN,47.37,2.08,83.62,15.39
07-09-2020,5,231.78,79.25,0.7,27.25,798310,708826,391060,NaN,76.71,81.46,2.18,63.15,39.13
08-09-2020,1,262.31,70.39,0.97,28.73,798310,708826,391060,NaN,64.87,38.11,1.55,39.43,11.15
09-09-2020,6,268.86,71.37,1.01,29,798310,708826,391060,NaN,74.59,47.74,2.83,42.03,20.36
10-09-2020,9,258.13,68.78,1.12,29.16,798310,708826,391060,NaN,93.99,52.78,1.77,36.37,18.16
11-09-2020,1,235.24,65.68,0.8,29.27,798310,708826,391060,NaN,91.93,58.35,1.22,53.15,17.74
12-09-2020,1,265.06,65.63,0.72,29.51,798310,708826,391060,NaN,89.35,62.75,2.45,51.49,32.33
13-09-2020,12,270.09,68.94,0.68,29.53,798310,708826,391060,NaN,83.44,67.73,2.36,44.59,25.15
14-09-2020,1,270.99,70.72,0.7,29.36,798310,708826,391060,NaN,103.43,84.95,3.59,57.88,26.01
15-09-2020,7,245.54,68.63,0.8,29.31,798310,708826,391060,NaN,154.57,83.19,1.28,56.75,27.87
16-09-2020,0,247.17,65.03,1.1,30.5,798310,708826,391060,NaN,190.53,69.47,1.7,50.06,26.79
17-09-2020,7,252.05,61.13,1.35,31.09,798310,708826,391060,NaN,153.05,51.48,1.67,44.8,18.47
18-09-2020,31,244.31,61.63,1.41,31.25,798310,708826,391060,NaN,140.54,27.54,1.86,41.52,21.9
19-09-2020,38,257.35,66.65,0.83,29.96,798310,708826,391060,NaN,170.28,30.57,2.87,40.04,21.24
20-09-2020,78,273.75,64.76,1.22,30.13,798310,708826,391060,NaN,186.57,52.89,1.61,43.12,58.29
21-09-2020,47,273.74,63.05,0.86,30.57,798310,708826,391060,NaN,167.76,41.58,1.57,13.89,31.43
22-09-2020,41,176.7,65.52,0.99,30.27,798310,708826,391060,NaN,96.38,24.89,2.01,75.38,35.32
23-09-2020,60,147.92,64.12,1.11,30,798310,708826,391060,NaN,71.54,16.76,1.9,63.52,29.16
24-09-2020,77,190.31,66.45,1,28.77,798310,708826,391060,NaN,104.04,31,2.27,53.04,27.11
25-09-2020,198,246.68,63.99,1.02,28.58,798310,708826,391060,NaN,163.83,42.42,2.41,86.33,13.23
26-09-2020,119,242.46,65.99,0.89,26.36,798310,708826,391060,NaN,216.86,53.31,2.22,87.35,21.41
27-09-2020,82,249.38,57.37,1.09,27.3,798310,708826,391060,NaN,151.17,19,1.79,62.47,9.51
28-09-2020,56,265,58.59,1.27,27.55,798310,708826,391060,NaN,227.75,46.64,2.53,69.96,17.58
29-09-2020,97,254.46,59.98,1.44,27.76,798310,708826,391060,NaN,227.42,51.03,2.08,65.74,24.05
30-09-2020,187,254.44,56.04,1.44,27.24,798310,708826,391060,NaN,200.48,41.14,1.26,72.19,17.2
01-10-2020,211,253.64,57.41,1.21,26.81,798310,708826,391060,NaN,199.29,45.7,2.37,78.18,17.52
02-10-2020,190,244.48,60.09,1.01,26.31,798310,708826,391060,NaN,217.17,NaN,1.69,79.67,12.2
03-10-2020,114,259.09,56.21,1.05,25.96,798310,708826,391060,NaN,217.99,63.21,1.85,85.98,29.39
04-10-2020,242,253.69,56.29,0.93,24.87,798310,708826,391060,NaN,235.03,71.06,2.64,87.77,19.46
05-10-2020,188,260.43,53.09,1.42,25.45,798310,708826,391060,NaN,221.91,57.22,1.86,84.98,20.9
06-10-2020,270,248.25,56.24,1.26,24.71,798310,708826,391060,NaN,242.93,70.95,2.64,91.21,20.93
07-10-2020,262,256.33,54.95,1.05,25.29,798310,708826,391060,NaN,297.71,119.7,2.09,94.07,19.17
08-10-2020,173,259.85,51.45,1.24,26.48,798310,708826,391060,NaN,241.2,78.14,2.33,84.66,24.78
09-10-2020,183,245.31,53.73,0.75,25.71,798310,708826,391060,NaN,275.61,94.46,2.01,77.08,24.24
10-10-2020,324,248.15,54.92,1,25.94,798310,708826,391060,NaN,237.4,95.53,2.1,62.03,25.86
11-10-2020,588,256.73,56.41,0.94,25.4,798310,708826,391060,NaN,235.65,100.83,2.37,62.83,27.08
12-10-2020,462,252.77,55.61,0.63,24.85,798310,708826,391060,NaN,328.46,171.16,2.97,73.69,45.09
13-10-2020,329,212.03,65,0.56,25.14,798310,708826,391060,NaN,299.65,135.01,3.09,63.26,26.51
14-10-2020,604,258.92,64.22,0.43,25.79,798310,708826,391060,NaN,289.71,137.6,2.71,67.88,41.1
15-10-2020,731,250.34,49.93,0.79,25.05,798310,708826,391060,NaN,322.19,163.97,3.16,68.1,27.05
16-10-2020,809,250.7,46.38,0.63,22.95,798310,708826,391060,NaN,291.49,131.31,2.92,74.3,27.14
17-10-2020,1372,245.4,52.55,0.52,22.71,798310,708826,391060,NaN,379.91,152.93,3.38,83,18.52
18-10-2020,1157,255.96,48.02,0.95,22.91,798310,708826,391060,NaN,280.52,109.3,2.18,66.8,11.69
19-10-2020,768,253.32,43.91,1.04,22.75,798310,708826,391060,NaN,316.93,127.77,3.36,67.56,18.84
20-10-2020,1160,250.13,44.59,0.82,21.4,798310,708826,391060,NaN,307.77,100.55,2.9,76.6,24.89
21-10-2020,1235,232.69,44.92,0.63,22.12,798310,708826,391060,NaN,332.78,143.01,3.52,75.06,17.66
22-10-2020,1689,242.2,53.15,0.39,21.27,798310,708826,391060,NaN,431.62,204.54,3.88,104.59,23.91
23-10-2020,1235,257.48,53.36,0.56,20.8,798310,708826,391060,NaN,493.34,266.35,4.03,114.99,14.43
24-10-2020,910,240.55,54.32,0.79,20.23,798310,708826,391060,NaN,493.19,257.94,4.06,106.39,15.3
25-10-2020,1610,235.67,54.56,0.53,20.36,798310,708826,391060,NaN,562.46,297.67,5.23,109.6,16.09
26-10-2020,1790,251.51,42.99,0.8,23.42,798310,708826,391060,NaN,460.91,249.48,3.71,121.65,16.97
27-10-2020,2645,256.89,46.64,0.98,20.02,798310,708826,391060,NaN,370.93,183.49,3.37,98.41,11.12
28-10-2020,2665,262.67,53.02,0.55,18.22,798310,708826,391060,NaN,450.52,213.41,3.79,124.92,17.79
29-10-2020,1677,225.34,56.46,0.35,25.6,798310,708826,391060,NaN,572.52,314.1,4.82,133.38,30.76
30-10-2020,3407,250.28,51.55,0.86,26.59,798310,708826,391060,NaN,581.21,245.32,4.69,114.63,14.53
31-10-2020,3832,267.38,45.74,1.19,27.16,798310,708826,391060,NaN,461.75,285.95,2.97,99.47,11.41
01-11-2020,3520,253.62,45.32,0.99,24.76,798310,708826,391060,NaN,502.02,307.15,3.49,97.24,16.34
02-11-2020,3628,240.27,43.94,0.83,24.11,798310,708826,391060,NaN,410.54,203.07,3.8,135.04,15.29
03-11-2020,2553,220.14,45.74,0.72,24.07,798310,708826,391060,NaN,402.81,171.83,4.37,152.07,18.32
04-11-2020,4012,231.44,55.58,0.62,23.34,798310,708826,391060,NaN,615.3,372.05,4.36,160.73,14.67
05-11-2020,5293,255.39,53.33,0.72,24.54,798310,708826,391060,NaN,555.23,320.97,4.29,163,18.8
06-11-2020,4327,246.14,53.72,0.67,24.44,798310,708826,391060,NaN,556.86,303.48,4.59,127.81,16.72
07-11-2020,5405,263.61,52.6,0.84,24.43,798310,708826,391060,NaN,604.15,372.3,3.91,134.64,15.44
08-11-2020,3554,261.41,57.89,0.46,23.08,798310,708826,391060,NaN,694.88,434.74,3.31,159.35,27.08
09-11-2020,1590,227.68,64.91,0.48,22.99,798310,708826,391060,NaN,731.96,559.95,5.22,163.82,16.66
10-11-2020,3582,214.86,65.69,0.44,23.48,798310,708826,391060,NaN,458.88,537.7,5.28,123.3,20.22
11-11-2020,2631,217.1,64.02,0.57,23.92,798310,708826,391060,NaN,522.45,272.14,4.39,94.68,26.27
12-11-2020,2038,213.19,63.7,0.44,24.13,798310,708826,391060,NaN,466.12,219.93,4.03,118.32,23.77
13-11-2020,1921,238.38,62.01,0.62,23.99,798310,708826,391060,NaN,521.62,291.94,4.33,136.45,10.61
14-11-2020,433,226.92,66.08,0.38,22.55,798310,708826,391060,NaN,677.55,476.25,4.3,127.94,20.65
15-11-2020,116,166.44,67.36,1.14,24.1,798310,708826,391060,NaN,342.26,298.01,2.67,88.45,21.34
16-11-2020,30,177.37,72.57,0.92,24.85,798310,708826,391060,NaN,163.99,98.12,2.13,56.31,10.98
17-11-2020,321,261.08,67.4,0.87,23.74,798310,708826,391060,NaN,204,88.29,2.35,76.02,8.7
18-11-2020,755,261.08,62.4,0.78,22.28,798310,708826,391060,NaN,248.23,113.9,2.35,98.28,7.36
19-11-2020,498,256.44,60.6,0.69,20.78,798310,708826,391060,NaN,319.24,197.49,2.38,101.28,14.89
20-11-2020,623,265.71,54.19,1.16,21.48,798310,708826,391060,NaN,280.39,153.16,2.39,96.93,12.71
21-11-2020,691,264.67,47.54,1.5,21.09,798310,708826,391060,NaN,238.9,115.25,2.41,78.36,9.7
22-11-2020,42,250.11,52.34,0.96,18.82,798310,708826,391060,NaN,300.1,153.29,2.89,93.58,11.14
23-11-2020,160,215.81,55.22,0.39,19.23,798310,708826,391060,NaN,420.95,227.46,4.21,123.71,32.94
24-11-2020,39,217.94,60,0.44,19.24,798310,708826,391060,NaN,552.15,340.61,4.6,129.35,41.09
25-11-2020,0,210.63,65.21,0.53,21.11,798310,708826,391060,NaN,476.16,322.77,2.9,94.68,37.15
26-11-2020,28,268.4,59.68,1.07,24.03,798310,708826,391060,NaN,201.66,120.01,2.15,66.18,11.17
27-11-2020,140,268.69,55.38,1.17,23.35,798310,708826,391060,NaN,188.64,75.12,2.29,84.06,11.77
28-11-2020,209,237.97,56.06,1.03,21.4,798310,708826,391060,NaN,254.6,124.69,3.01,96.57,9.31
29-11-2020,136,247.04,56.55,0.67,19.87,798310,708826,391060,NaN,320.15,173.28,3.81,110.85,13.16
30-11-2020,54,248.38,60.85,0.75,19.81,798310,708826,391060,NaN,417.82,222.11,4.62,117.87,13.78
01-12-2020,66,234.07,63.91,0.58,20.5,798310,708826,391060,NaN,514.57,319.3,4.11,138.31,18.66
02-12-2020,65,235.3,61.99,0.81,20.97,798310,708826,391060,NaN,467.5,216.66,4.71,127.53,11.89
03-12-2020,69,227.1,62.74,0.62,20.96,798310,708826,391060,NaN,392.23,221.95,3.87,138.92,12.84
04-12-2020,68,200.18,67.8,0.5,21.42,798310,708826,391060,NaN,502.22,329.72,4.27,126.39,22.92
05-12-2020,29,169.04,70.8,0.79,22.23,798310,708826,391060,NaN,387.5,283.09,2.6,94.84,7.39
06-12-2020,19,202.61,68.29,0.58,23.4,798310,708826,391060,NaN,406.71,279.36,3.35,102.72,15.34
07-12-2020,27,253.65,74.17,0.73,22.35,798310,708826,391060,NaN,445.38,325.58,4.54,106.56,15.88
08-12-2020,41,245.33,68.39,0.49,21.89,798310,708826,391060,NaN,362.12,260.68,3.72,103.15,23.44
09-12-2020,16,248.35,62.77,0.56,22.64,798310,708826,391060,NaN,358.28,271.56,3.71,70.65,20.23
10-12-2020,42,245.76,65.57,0.69,22.98,798310,708826,391060,NaN,249.48,162.93,2.74,41.19,11.01
11-12-2020,16,183.61,71.24,0.33,22.24,798310,708826,391060,NaN,282.17,199.57,2.97,30.08,25.4
12-12-2020,2,222.74,81.63,0.51,21.15,798310,708826,391060,NaN,300.65,278.5,2.9,19.81,20.08
13-12-2020,7,274.06,76.1,1.07,19.59,798310,708826,391060,NaN,155.98,128.16,1.98,15.41,12.75
14-12-2020,10,275.16,71.14,1.17,17.1,798310,708826,391060,NaN,147.07,120.47,1.85,15.61,12.34
15-12-2020,69,274.09,72.64,0.92,15.74,798310,708826,391060,NaN,179.12,153.68,2.08,17.75,20.87
16-12-2020,9,271.91,69.99,1.07,15.76,798310,708826,391060,NaN,167.78,134.8,2.14,17.79,13.01
17-12-2020,17,249.54,71.02,1.55,12.69,798310,708826,391060,NaN,193.41,156.91,2.33,16.62,10.7
18-12-2020,31,249.78,54.44,1.28,15.47,798310,708826,391060,NaN,222.38,150.43,2.54,4.61,14.76
19-12-2020,45,242.06,57.65,1.01,15.15,798310,708826,391060,NaN,258.31,167.97,3.19,102.77,18.61
20-12-2020,45,262.62,57.87,0.96,16.66,798310,708826,391060,NaN,305.01,224.08,3.64,97.24,16.49
21-12-2020,25,256.42,60.13,0.76,17.14,798310,708826,391060,NaN,384.39,274.93,4.1,99.15,22.06
22-12-2020,21,249.61,67.23,0.62,16.79,798310,708826,391060,NaN,535.24,470.18,4.11,118.85,21.28
23-12-2020,52,250.08,67.82,0.56,16.8,798310,708826,391060,NaN,524.79,422.37,5.52,121.33,20.05
24-12-2020,31,254,69.55,0.69,16.74,798310,708826,391060,NaN,425.49,357.85,4.44,125.15,23.3
25-12-2020,59,256.04,64.08,0.99,16.97,798310,708826,391060,NaN,304.02,230.69,3.28,106.9,13.45
26-12-2020,46,250.83,67.52,0.74,15.53,798310,708826,391060,NaN,349.91,274.85,3.61,115.35,13.64
27-12-2020,21,184.5,64.23,1.33,18.25,798310,708826,391060,NaN,324.29,269.5,2.63,89.76,13.54
28-12-2020,6,277.94,43.74,1.21,17.38,798310,708826,391060,NaN,211.69,95.99,1.87,70.73,16.5
29-12-2020,6,274.16,58.04,1.18,15.47,798310,708826,391060,NaN,238.29,142.9,2.12,80.1,16.3
30-12-2020,15,268.59,72.9,1.32,14.16,798310,708826,391060,NaN,223.62,191.06,2.23,67.46,12.19
31-12-2020,18,244.91,75.14,0.57,13.5,798310,708826,391060,NaN,313.29,277.41,2.74,100.86,14.1
01-09-2021,1,214.84,95.94,0.61,24.97,923967,NaN,401982,NaN,64.05,36.96,0.59,38.15,10.21
02-09-2021,1,226.5,88.06,0.59,28.1,923967,NaN,401982,NaN,96.7,56.78,0.77,49.77,11.87
03-09-2021,0,196.18,84.33,1.12,28.98,923967,NaN,401982,NaN,97.82,49.13,1.09,41.63,11.52
04-09-2021,1,205.41,87.64,0.82,27.6,923967,NaN,401982,NaN,235.75,69.05,2.03,51.58,7.87
05-09-2021,4,232.72,88.24,0.66,28.39,923967,NaN,401982,NaN,262.94,68.49,2.24,61.35,6.68
06-09-2021,6,217.26,82.58,0.8,30.62,923967,NaN,401982,NaN,230.05,85.68,2.27,54.5,10.54
07-09-2021,4,156.99,84.76,1.1,29.66,923967,NaN,401982,NaN,132.35,51.66,1.94,38.67,11.07
08-09-2021,0,112.98,81.52,1.76,29.34,923967,NaN,401982,NaN,76.93,28.8,1.57,29.22,9.82
09-09-2021,1,125.06,79.73,1.45,29.94,923967,NaN,401982,NaN,79.61,34.56,1.72,26.87,11.91
10-09-2021,0,129.21,84.44,1.47,27.51,923967,NaN,401982,NaN,91.93,42.51,1.79,31.83,16.26
11-09-2021,0,160.84,88.33,0.91,23.26,923967,NaN,401982,NaN,69.1,27.52,2.01,25.94,12.37
12-09-2021,0,169.27,82.52,0.8,25.81,923967,NaN,401982,NaN,83.14,45.43,2.31,NaN,10.34
13-09-2021,1,206.89,80.96,0.82,26.33,923967,NaN,401982,NaN,115.97,54.54,2.4,57.67,16.75
14-09-2021,4,229.34,74.71,0.86,27.48,923967,NaN,401982,NaN,143.01,34.77,1.82,34.57,22.74
15-09-2021,0,156.35,68.04,1.37,28.21,923967,NaN,401982,NaN,131.12,30.77,2.27,35.59,12.7
16-09-2021,4,202.57,84.69,0.69,23.85,923967,NaN,401982,NaN,124.36,37.2,2.55,45.03,10.1
17-09-2021,4,221.16,76.06,0.97,25.78,923967,NaN,401982,NaN,112.03,35.64,2.56,35.65,10.73
18-09-2021,13,147.94,72.51,1.12,27.48,923967,NaN,401982,NaN,99.56,41.55,2.07,34.94,14
19-09-2021,6,157.04,72.94,1.14,28.14,923967,NaN,401982,NaN,86.11,44.1,2.15,31.67,9.74
20-09-2021,9,193.54,74.5,0.89,28.17,923967,NaN,401982,NaN,106.23,40.61,2.35,36.33,11.52
21-09-2021,1,156.63,78.2,0.98,27.19,923967,NaN,401982,NaN,97.51,47.47,2.27,44.49,15.16
22-09-2021,0,138.29,78.32,1.27,25.79,923967,NaN,401982,NaN,90.17,40.99,2.44,41.55,18.63
23-09-2021,1,143.62,75.28,1.63,26.32,923967,NaN,401982,NaN,91.08,36.78,2.3,34.04,20.04
24-09-2021,8,208.78,79.94,0.78,25.77,923967,NaN,401982,NaN,80.09,32.71,2.22,40.6,17.18
25-09-2021,19,220.16,76.13,0.64,26.89,923967,NaN,401982,NaN,94.3,17.5,2.07,43.38,20.11
26-09-2021,21,153.76,74.97,0.81,26.95,923967,NaN,401982,NaN,96.18,43.97,2.57,41.5,24.83
27-09-2021,41,238.08,75.49,0.43,27.62,923967,NaN,401982,NaN,192.84,65.23,2.38,61.83,20.71
28-09-2021,38,163.22,69.46,0.91,28.87,923967,NaN,401982,NaN,126.38,59.64,2.85,43.48,27.25
29-09-2021,73,134.18,67.77,1.15,29.03,923967,NaN,401982,NaN,91.26,45.76,2.64,36.7,26.13
30-09-2021,33,165.16,71.53,0.64,28.2,923967,NaN,401982,NaN,143.49,64.05,2.68,46.1,25.12
01-10-2021,8,238.63,78.77,0.42,26.9,923967,NaN,401982,NaN,231.41,72.95,2.33,85.58,23.75
02-10-2021,6,260.43,73.93,0.61,27.9,923967,NaN,401982,NaN,308.28,82.09,1.93,66.99,21.03
03-10-2021,23,232.44,72.5,0.9,27.99,923967,NaN,401982,NaN,318.8,67.52,2.31,56.82,19.68
04-10-2021,31,235.29,70.21,0.67,27.96,923967,NaN,401982,NaN,306.44,56.46,1.86,63.32,23.67
05-10-2021,32,216.29,71.79,0.5,27.44,923967,NaN,401982,NaN,236.47,60.37,1.82,68.7,22.71
06-10-2021,34,269.29,72.84,0.71,27.38,923967,NaN,401982,NaN,316.36,64.17,1.49,63.25,15.77
07-10-2021,98,255.51,71.33,0.74,26.03,923967,NaN,401982,NaN,339.6,67.75,1.53,72.46,20.95
08-10-2021,121,245.41,62.71,0.95,27.32,923967,NaN,401982,NaN,324.3,75.54,2.34,88.68,21.03
09-10-2021,224,243.23,66.97,0.76,25.57,923967,NaN,401982,NaN,332.61,83.26,2.55,94.75,21.76
10-10-2021,296,246.02,67.1,0.69,25.66,923967,NaN,401982,NaN,314.24,77.04,2.78,87.94,25.35
11-10-2021,137,251.84,67.36,0.59,25.65,923967,NaN,401982,NaN,314.18,74.93,3.18,85.9,25.32
12-10-2021,153,246.78,61.61,0.72,26.24,923967,NaN,401982,NaN,312.25,76.44,2.22,86.92,21.13
13-10-2021,253,269.63,53.34,1.16,25.58,923967,NaN,401982,NaN,323.69,87.36,1.85,77.78,27.39
14-10-2021,521,260.76,56.96,1.21,22.75,923967,NaN,401982,NaN,362.91,86.12,2.06,93.08,24.11
15-10-2021,1159,252.04,60.66,0.68,23.43,923967,NaN,401982,NaN,369.15,113,2.89,117.02,25.37
16-10-2021,778,248.48,68.35,0.41,24.48,923967,NaN,401982,NaN,408.07,213.46,2.83,125.24,29.68
17-10-2021,16,231.43,82.66,0.55,22.66,923967,NaN,401982,NaN,131.72,135.18,1.57,57.02,19.76
18-10-2021,79,250.8,87.22,0.79,19.99,923967,NaN,401982,NaN,52.19,27.71,1.51,39.49,14.93
19-10-2021,590,257.76,76.06,1.37,22.73,923967,NaN,401982,NaN,216.17,65.75,1.79,63.29,17.92
20-10-2021,1269,242.34,73.17,0.76,21.82,923967,NaN,401982,NaN,365.16,127.93,2.26,99.04,20.48
21-10-2021,941,237.79,54.32,1.17,22.82,923967,NaN,401982,NaN,405.5,89,2.81,100.55,19.22
22-10-2021,1043,235.08,62.93,0.98,22,923967,NaN,401982,NaN,302.31,76.49,2.23,98.07,15.78
23-10-2021,806,221.88,69.61,0.69,21.89,923967,NaN,401982,NaN,247.5,81.56,NaN,81.19,18.9
24-10-2021,34,197.52,72.03,1.06,20.92,923967,NaN,401982,NaN,153.43,42.16,NaN,56.6,11.71
25-10-2021,213,246.96,73.65,0.93,19.36,923967,NaN,401982,NaN,170.68,53.72,NaN,68.57,13.68
26-10-2021,527,259.89,71.6,0.82,18.27,923967,NaN,401982,NaN,276.02,70.2,NaN,86.99,11.77
27-10-2021,421,258.4,69.92,0.8,17.91,923967,NaN,401982,NaN,378.06,116.94,1.73,108.37,13.82
28-10-2021,1132,262.38,70.48,0.73,17.75,923967,NaN,401982,NaN,377.23,132.33,1.48,114.85,15.39
29-10-2021,1384,255.74,72.31,0.45,18.23,923967,NaN,401982,NaN,360.35,148.14,2.58,112.19,13.6
30-10-2021,1993,255.83,65.97,0.89,18.59,923967,NaN,401982,NaN,347.13,120.69,1.93,112.12,14.51
31-10-2021,3080,234.45,66.57,0.71,18.33,923967,NaN,401982,NaN,431.12,144.27,1.39,118.53,13.03
01-11-2021,2458,218.92,69.01,0.59,17.96,923967,NaN,401982,NaN,341.57,128.96,1.97,111.15,15.51
02-11-2021,2834,208.93,69.53,0.74,18.66,923967,NaN,401982,NaN,300.34,116.84,1.53,98.31,14.98
03-11-2021,2936,222.03,73.27,0.5,22.57,923967,NaN,401982,NaN,384.21,152.54,3.17,118.22,14.83
04-11-2021,3537,254.51,76.95,0.38,21.62,923967,NaN,401982,NaN,548.21,294.29,2.07,130.35,17.36
05-11-2021,6515,240.06,78.11,0.38,20.7,923967,NaN,401982,NaN,661.01,381.2,3.81,130.48,18.78
06-11-2021,4600,242.12,66.44,0.7,21.29,923967,NaN,401982,NaN,592.21,304.99,2.91,130.88,19.05
07-11-2021,5020,265.27,68.17,0.59,20.93,923967,NaN,401982,NaN,555.85,267.02,2.93,130.01,19.95
08-11-2021,5433,259.37,68.82,0.59,21.15,923967,NaN,401982,NaN,578.36,245.51,2.9,150.9,18.95
09-11-2021,4868,275.47,67.08,0.64,21.04,923967,NaN,401982,NaN,594.81,286.84,2.92,141.3,26.54
10-11-2021,5833,257.6,68.18,0.48,21.45,923967,NaN,401982,NaN,609.24,235.68,2.9,161.35,25.04
11-11-2021,4706,255.51,76.49,0.35,19.23,923967,NaN,401982,NaN,686.36,290.75,2.68,173.67,16.33
12-11-2021,3993,250.24,77,0.39,19.69,923967,NaN,401982,NaN,732.6,348.74,3.5,159.71,19.62
13-11-2021,4637,252.92,68.98,0.56,19.33,923967,NaN,401982,NaN,599.25,257.39,3,146.62,22.26
14-11-2021,2847,244.47,66.38,0.4,18.67,923967,NaN,401982,NaN,495.59,188.5,2.55,136.77,21.49
15-11-2021,2579,249.73,69.34,0.41,18.21,923967,NaN,401982,NaN,488.33,201.96,2.77,142.03,15.15
16-11-2021,2112,259.42,69.04,0.59,18.15,923967,NaN,401982,NaN,538.52,249.64,3.71,136.54,17.34
17-11-2021,889,242.97,70.55,0.42,18.17,923967,NaN,401982,NaN,516.13,226.13,2.45,125.92,14.4
18-11-2021,846,238.02,72.1,0.41,19.05,923967,NaN,401982,NaN,491.76,252.61,1.95,140.51,16.9
19-11-2021,802,256.22,71.26,0.45,18.69,923967,NaN,401982,NaN,514.46,251.56,3.18,157.93,23.97
20-11-2021,592,244.12,69.04,0.42,19.65,923967,NaN,401982,NaN,498.38,221.24,3.26,152.89,20.99
21-11-2021,571,259.36,64.22,0.86,18.99,923967,NaN,401982,NaN,487.4,192.46,1.82,127.34,22.3
22-11-2021,282,242.78,47.15,1.25,20.86,923967,NaN,401982,NaN,369.03,131.94,3.47,98.12,19.63
23-11-2021,189,221.3,60.12,0.68,17.7,923967,NaN,401982,NaN,426.12,153.28,1.73,127.25,19.95
24-11-2021,143,236.38,69.09,0.37,18.02,923967,NaN,401982,NaN,560.99,276.98,3.04,153.1,28.86
25-11-2021,114,204.6,73.94,0.4,18.04,923967,NaN,401982,NaN,633.89,309.47,2.18,124.78,21.21
26-11-2021,124,242.88,73.91,0.34,18.42,923967,NaN,401982,NaN,673.65,436.18,3.1,119.72,29.1
27-11-2021,96,210.78,75.45,0.46,18.2,923967,NaN,401982,NaN,548.07,338.04,2.58,100.52,18.09
28-11-2021,26,223.57,77.83,0.38,18.8,923967,NaN,401982,NaN,537.07,325.72,2.76,87.67,39.02
29-11-2021,45,256.78,72.08,0.64,18.04,923967,NaN,401982,NaN,560.06,298.95,2.76,101.54,24.83
30-11-2021,39,263.69,67.35,0.7,18.5,923967,NaN,401982,NaN,467.82,192.1,2.15,97.67,21.71
01-12-2021,2,238.57,75.85,0.32,17.86,923967,NaN,401982,NaN,621.3,345.12,2.95,112.99,16.5
02-12-2021,7,238.41,81.03,0.4,17.6,923967,NaN,401982,NaN,415.81,261.5,2.88,73.94,21.23
03-12-2021,23,256.46,77.79,0.61,18.44,923967,NaN,401982,NaN,475.58,242.24,2.66,78.54,23.46
04-12-2021,37,253.43,72.78,0.5,18.69,923967,NaN,401982,NaN,521.47,221.93,2.93,92.37,21.43
05-12-2021,10,223.61,75.82,0.38,19.02,923967,NaN,401982,NaN,477.92,218.68,2.73,77.43,18.51
06-12-2021,19,245.65,73.2,0.81,20.3,923967,NaN,401982,NaN,350.88,173.99,2.46,71.28,28.32
07-12-2021,32,257.52,69.85,0.79,18.22,923967,NaN,401982,NaN,357.43,124.4,2.29,80.38,19.06
08-12-2021,19,248.11,70.03,0.68,16.34,923967,NaN,401982,NaN,407.06,136.26,2.07,104.5,18.6
09-12-2021,11,253.92,73.07,0.42,15.99,923967,NaN,401982,NaN,522.45,215.15,2.87,118.86,20.52
10-12-2021,16,246.84,71.88,0.63,16.06,923967,NaN,401982,NaN,433.27,190.59,2.77,114.08,20.98
