,RMSE,MSE,SMAPE
ARIMA,3.4023766866978717,11.576167118185188,90.87047008051572
ExponentialSmoothing,16.541235463420744,273.612470656328,145.0500315579983
Prophet,49.15425220145594,2416.1405094843362,175.84226484728234
RNNModel,161.73282325250202,26157.506117225053,192.51149082111587
LightGBMModel,25.082821778017667,629.1479483477973,173.11285576221317
